Date,Pair,Interval,Indicator
2020-05-19 15:15:24+00:00,BATBTC,15m,Near Horizontal Support
2020-05-19 14:00:28+00:00,BNTBTC,15m,RSI Bullish Divergence
2020-05-19 13:30:24+00:00,ALGOUSDT,15m,Near Horizontal Support
2020-05-19 13:30:24+00:00,COSUSDT,15m,RSI Extremely Oversold
2020-05-19 12:00:29+00:00,AIONUSDT,15m,Near Horizontal Support
2020-05-19 11:45:24+00:00,NASBTC,15m,Near Horizontal Support
2020-05-19 09:00:27+00:00,ENJBTC,15m,Near Horizontal Support
2020-05-19 08:30:33+00:00,DASHBTC,15m,Near Horizontal Support
2020-05-19 08:30:33+00:00,RVNBTC,15m,Near Horizontal Support
2020-05-19 08:30:33+00:00,ETCBTC,15m,Near Horizontal Support
2020-05-19 08:00:43+00:00,BATBTC,4h,BB Squeeze
2020-05-19 08:00:35+00:00,ZILUSDT,1h,Inverted Hammer + RSI was Oversold
2020-05-19 04:15:30+00:00,ZILUSDT,15m,RSI Extremely Oversold
2020-05-19 04:00:51+00:00,IOTABTC,1h,BB Squeeze
2020-05-19 04:00:51+00:00,EOSBTC,1h,0.618 Fibonacci retracement
2020-05-19 03:45:25+00:00,EOSUSDT,15m,Near Horizontal Support
2020-05-19 03:30:21+00:00,CHZUSDT,15m,Near Horizontal Support
2020-05-19 03:15:23+00:00,ZRXBTC,15m,Near Horizontal Support
2020-05-19 03:00:27+00:00,XLMUSDT,1h,0.618 Fibonacci retracement
2020-05-19 02:15:26+00:00,NEOBTC,15m,Near Horizontal Support
2020-05-19 02:15:26+00:00,VETUSDT,15m,Near Horizontal Support
2020-05-19 02:15:26+00:00,ZRXUSDT,15m,Near Horizontal Support
2020-05-19 00:00:58+00:00,ARNBTC,1h,Hammer + RSI was Oversold
2020-05-19 00:00:49+00:00,BANDUSDT,4h,BB Squeeze
2020-05-19 00:00:28+00:00,LTCBTC,1D,Bullish Engulfing + RSI was Oversold
2020-05-18 23:30:24+00:00,NANOBTC,15m,Hidden Bullish RSI Divergence (Beta)
2020-05-18 22:00:42+00:00,ARNBTC,1h,0.618 Fibonacci retracement
2020-05-18 22:00:29+00:00,HBARUSDT,15m,Near Horizontal Support
2020-05-18 21:30:23+00:00,ARNBTC,15m,RSI Bullish Divergence
2020-05-18 20:00:29+00:00,HBARUSDT,4h,BB Squeeze
